"GEO_ID","NAME","B19013B_001M","B19013B_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0400000US01","Alabama","754","26988",
"0400000US02","Alaska","19615","56368",
"0400000US04","Arizona","3187","36351",
"0400000US05","Arkansas","1249","25394",
"0400000US06","California","1035","42441",
"0400000US08","Colorado","3019","39033",
"0400000US09","Connecticut","2206","39707",
"0400000US10","Delaware","3741","38421",
"0400000US11","District of Columbia","2077","37430",
"0400000US12","Florida","550","32299",
"0400000US13","Georgia","922","33567",
"0400000US15","Hawaii","6835","56793",
"0400000US16","Idaho","7591","23771",
"0400000US17","Illinois","1114","32866",
"0400000US18","Indiana","939","30071",
"0400000US19","Iowa","3197","22810",
"0400000US20","Kansas","2789","29346",
"0400000US21","Kentucky","1441","27375",
"0400000US22","Louisiana","734","27114",
"0400000US23","Maine","16619","29223",
"0400000US24","Maryland","1190","54549",
"0400000US25","Massachusetts","2291","41057",
"0400000US26","Michigan","981","28718",
"0400000US27","Minnesota","1698","26867",
"0400000US28","Mississippi","911","24525",
"0400000US29","Missouri","779","30070",
"0400000US30","Montana","9839","44107",
"0400000US31","Nebraska","2454","26398",
"0400000US32","Nevada","2554","34411",
"0400000US33","New Hampshire","38416","49529",
"0400000US34","New Jersey","1277","45825",
"0400000US35","New Mexico","7431","37075",
"0400000US36","New York","828","39890",
"0400000US37","North Carolina","551","30952",
"0400000US38","North Dakota","16282","27510",
"0400000US39","Ohio","688","27172",
"0400000US40","Oklahoma","1729","30221",
"0400000US41","Oregon","5578","31799",
"0400000US42","Pennsylvania","751","31266",
"0400000US44","Rhode Island","3350","28019",
"0400000US45","South Carolina","1027","27643",
"0400000US46","South Dakota","10139","32389",
"0400000US47","Tennessee","706","31293",
"0400000US48","Texas","723","35640",
"0400000US49","Utah","8759","41523",
"0400000US50","Vermont","40756","56607",
"0400000US51","Virginia","905","41044",
"0400000US53","Washington","2585","38758",
"0400000US54","West Virginia","4591","29842",
"0400000US55","Wisconsin","1402","26275",
"0400000US56","Wyoming","11309","25347",
"0400000US72","Puerto Rico","1389","18517",
